d,absmom,trend,bench_6040,stocks
1928-01-31,99.1165,99.1165,99.4908,99.1165
1928-02-29,97.6742,97.6742,98.6977,97.6742
1928-03-31,106.5528,106.5528,104.1992,106.5528
1928-04-30,111.3177,111.3177,107.0626,111.3177
1928-05-31,113.2553,113.2553,108.1968,113.2553
1928-06-30,108.0162,108.0162,104.9929,108.0162
1928-07-31,108.9627,108.9627,105.2348,108.9627
1928-08-31,116.5459,116.5459,109.6992,116.5459
1928-09-30,120.1649,120.1649,112.0522,120.1649
1928-10-31,122.3528,122.3528,113.4469,122.3528
1928-11-30,137.3987,137.3987,122.8917,137.3987
1928-12-31,137.93,137.93,123.0883,137.93
1929-01-31,144.6998,144.6998,126.6653,144.6998
1929-02-28,144.7904,144.7904,126.449,144.7904
1929-03-31,143.8872,143.8872,125.63,143.8872
1929-04-30,146.3911,146.3911,127.5212,146.3911
1929-05-31,137.8049,137.8049,123.0972,137.8049
1929-06-30,151.9021,151.9021,130.5534,151.9021
1929-07-31,159.1149,159.1149,134.7536,159.1149
1929-08-31,172.8986,172.8986,141.9603,172.8986
1929-09-30,163.8865,163.8865,137.3544,163.8865
1929-10-31,131.6484,131.6484,120.7066,131.6484
1929-11-30,115.174,126.1406,113.1837,115.174
1929-12-31,115.1822,126.4564,114.2215,116.9318
1930-01-31,114.8318,126.7856,118.2043,123.858
1930-02-28,115.3519,127.0648,120.3952,127.232
1930-03-31,116.8428,127.3956,126.4967,136.6001
1930-04-30,116.3807,127.7017,124.8623,134.1326
1930-05-31,117.2938,128.0213,124.0864,132.2021
1930-06-30,118.2098,128.3417,112.1232,111.2598
1930-07-31,118.53,128.663,115.0944,116.0938
1930-08-31,118.7513,128.663,115.3992,116.4633
1930-09-30,119.2739,128.985,106.9875,101.8197
1930-10-31,119.8978,128.985,101.9721,92.8792
1930-11-30,120.4211,129.282,100.651,90.2835
1930-12-31,120.4366,129.6186,96.6159,83.4167
1931-01-31,120.963,129.956,100.2159,88.8616
1931-02-28,120.2696,129.956,106.6047,98.5416
1931-03-31,120.9039,129.956,102.5292,92.275
1931-04-30,121.3351,129.956,96.385,83.0783
1931-05-31,122.6908,129.956,89.2859,72.0426
1931-06-30,123.3256,129.956,96.3442,82.0678
1931-07-31,123.4385,129.956,92.6756,76.6456
1931-08-31,123.4497,129.956,92.9062,76.9776
1931-09-30,123.0493,129.956,77.4616,54.5691
1931-10-31,119.5175,129.956,79.2931,58.9362
1931-11-30,119.8791,130.2552,75.8197,53.6809
1931-12-31,117.3116,130.2552,70.0221,46.4238
1932-01-31,114.5911,130.5813,69.1634,45.8104
1932-02-29,116.3863,130.8819,71.9936,48.4228
1932-03-31,118.5874,131.2226,67.5732,43.0666
1932-04-30,121.3217,131.2226,61.0881,35.3346
1932-05-31,120.8965,131.2226,54.291,28.0697
1932-06-30,121.2753,131.2226,54.1732,27.8453
