date,uk_dual_momentum,bench_6040,isf_buy_hold
2008-01-04,4619.94,4669.07,4653.38
2008-01-11,4544.86,4611.51,4540.05
2008-01-18,4335.73,4495.95,4311.49
2008-01-25,4363.61,4493.74,4311.49
2008-02-01,4416.32,4543.9,4417.56
2008-02-08,4396.41,4475.84,4232.74
2008-02-15,4357.25,4464.21,4251.05
2008-02-22,4340.23,4462.07,4324.28
2008-02-29,4404.92,4479.49,4332.42
2008-03-07,4450.89,4396.64,4222.28
2008-03-14,4447.49,4396.47,4174.48
2008-03-21,4454.3,4399.39,4082.65
2008-03-28,4435.57,4477.79,4229.54
2008-04-04,4418.54,4569.82,4409.57
2008-04-11,4418.54,4558.21,4374.7
2008-04-18,4343.63,4566.08,4497.77
2008-04-25,4338.53,4574.21,4556.47
2008-05-02,4358.96,4641.02,4565.62
2008-05-09,4387.9,4643.11,4609.65
2008-05-16,4364.06,4699.33,4685.06
2008-05-23,4328.31,4579.51,4527.12
2008-05-30,4301.07,4612.98,4504.89
2008-06-06,4299.37,4591.61,4410.01
2008-06-13,4231.27,4520.48,4341.13
2008-06-20,4263.62,4448.57,4201.65
2008-06-27,4301.07,4369.17,4127.11
2008-07-04,4321.5,4337.29,4054.6
2008-07-11,4370.87,4301.7,3944.9
2008-07-18,4309.58,4328.96,4032.23
2008-07-25,4335.12,4336.68,4010.0
2008-08-01,4377.68,4361.38,4011.88
2008-08-08,4428.76,4425.85,4125.36
2008-08-15,4430.46,4510.43,4110.4
2008-08-22,4442.38,4518.77,4155.15
2008-08-29,4479.83,4590.94,4255.26
2008-09-05,4515.59,4510.81,3996.05
2008-09-12,4435.57,4517.14,4088.17
2008-09-19,4444.08,4459.51,4027.87
2008-09-26,4473.02,4393.88,3881.55
2008-10-03,4549.64,4367.39,3742.5
2008-10-10,4507.07,3872.48,3007.86
2008-10-17,4467.92,3958.25,3090.54
2008-10-24,4553.04,3968.95,2949.6
2008-10-31,4542.83,4134.85,3295.41
2008-11-07,4568.36,4165.79,3306.6
2008-11-14,4583.69,4162.69,3218.26
2008-11-21,4690.94,3939.71,2857.62
2008-11-28,4706.27,4140.43,3269.98
2008-12-05,4830.55,4152.44,3089.52
2008-12-12,4723.29,4221.26,3264.17
2008-12-19,4886.73,4370.03,3275.5
2008-12-26,4951.43,4389.38,3222.32
2009-01-02,4910.57,4511.26,3484.45
2009-01-09,4890.14,4334.05,3395.23
2009-01-16,4796.5,4182.49,3167.4
2009-01-23,4638.17,4187.71,3089.52
2009-01-30,4702.86,4147.98,3167.4
2009-02-06,4719.89,4204.11,3286.98
2009-02-13,4839.06,4201.79,3203.44
2009-02-20,4837.36,4003.92,2986.94
2009-02-27,4769.26,3959.31,2946.11
2009-03-06,4951.43,3869.67,2708.4
2009-03-13,4978.67,4073.34,2893.95
2009-03-20,4953.13,4135.46,2955.26
2009-03-27,4830.55,4192.87,3002.92
2009-04-03,4816.93,4172.68,3102.6
2009-04-10,4845.87,4244.76,3062.78
2009-04-17,4791.39,4248.52,3147.79
2009-04-24,4811.82,4290.73,3193.12
2009-05-01,4801.61,4302.14,3262.86
2009-05-08,4764.15,4393.1,3442.45
2009-05-15,4818.63,4332.26,3365.74
2009-05-22,4745.42,4250.37,3384.04
2009-05-29,4779.47,4291.82,3426.62
2009-06-05,4692.65,4336.4,3459.16
2009-06-12,4719.89,4287.19,3463.09
2009-06-19,4782.88,4249.72,3392.47
2009-06-26,4811.82,4246.66,3307.03
2009-07-03,4799.9,4220.59,3297.73
2009-07-10,4820.33,4175.38,3221.6
2009-07-17,4787.99,4310.13,3425.02
2009-07-24,4731.8,4381.9,3565.67
2009-07-31,4767.56,4418.2,3594.44
2009-08-07,4815.23,4487.06,3686.85
2009-08-14,4885.03,4512.79,3691.5
2009-08-21,4915.67,4596.34,3802.51
2009-08-28,4939.51,4680.98,3861.79
2009-09-04,4932.7,4606.95,3800.76
2009-09-11,4953.13,4683.84,3935.46
2009-09-18,4929.29,4801.49,4063.9
2009-09-25,4953.13,4802.33,4002.88
2009-10-02,4985.09,4750.67,3919.04
2009-10-09,5162.0,4881.5,4052.13
2009-10-16,5105.54,4831.32,4090.64
2009-10-23,5122.72,4830.14,4121.88
2009-10-30,4860.04,4688.7,3942.58
2009-11-06,4921.46,4684.73,4042.83
2009-11-13,5067.41,4759.94,4162.71
2009-11-20,5048.3,4784.07,4147.01
2009-11-27,5061.75,4821.57,4158.06
2009-12-04,5089.28,4857.12,4197.43
2009-12-11,5078.39,4828.03,4147.01
2009-12-18,5091.7,4860.45,4101.97
2009-12-25,5245.37,4923.34,4256.57
2010-01-01,5211.49,4891.82,4260.49
2010-01-08,5274.3,4970.46,4362.2
2010-01-15,5196.11,4934.06,4297.54
2010-01-22,5056.96,4868.75,4182.47
2010-01-29,4952.06,4810.98,4095.72
2010-02-05,4837.68,4788.6,4001.13
2010-02-12,4929.22,4782.83,4076.83
2010-02-19,5141.82,4908.42,4252.65
2010-02-26,5133.91,4959.15,4246.11
2010-03-05,5371.46,5080.75,4442.55
2010-03-12,5408.88,5109.26,4473.5
2010-03-19,5433.83,5175.47,4494.14
2010-03-26,5484.61,5205.94,4536.13
2010-04-02,5515.36,5196.04,4561.55
2010-04-09,5555.59,5181.46,4594.83
2010-04-16,5529.76,5182.98,4573.47
2010-04-23,5512.37,5186.35,4559.08
2010-04-30,5353.36,5183.26,4427.59
2010-05-07,4970.86,5036.59,4111.27
2010-05-14,5115.64,5137.36,4231.0
2010-05-21,4928.69,5058.92,4076.4
2010-05-28,5063.28,5087.31,4187.7
2010-06-04,4932.04,5031.68,4136.99
2010-06-11,4970.29,5067.22,4170.84
2010-06-18,5067.04,5106.38,4235.07
2010-06-25,4840.91,4995.92,4081.63
2010-07-02,4593.41,4862.19,3900.0
2010-07-09,4835.29,5006.32,4141.93
2010-07-16,4797.04,4982.51,4161.11
2010-07-23,4851.04,4996.52,4277.64
2010-07-30,4828.54,4988.44,4255.12
2010-08-06,4804.48,4995.53,4308.15
2010-08-13,4754.39,4984.83,4263.25
2010-08-20,4690.69,4987.95,4206.15
2010-08-27,4701.06,4988.23,4215.45
2010-09-03,4886.02,5106.94,4381.24
2010-09-10,4959.13,5125.71,4446.77
2010-09-17,4969.01,5127.75,4455.63
2010-09-24,5044.88,5179.71,4523.63
2010-10-01,5031.26,5191.5,4511.43
2010-10-08,5103.39,5245.3,4576.08
2010-10-15,5135.0,5245.08,4604.42
2010-10-22,5172.94,5323.3,4638.42
2010-10-29,5124.14,5236.66,4594.68
2010-11-05,5301.97,5316.37,4754.08
2010-11-12,5238.75,5232.93,4697.41
2010-11-19,5186.39,5238.11,4650.48
2010-11-26,5135.65,5273.02,4605.0
2010-12-03,5100.93,5327.26,4678.23
2010-12-10,5109.55,5323.7,4717.17
2010-12-17,5225.11,5399.21,4768.46
2010-12-24,5266.84,5441.6,4869.3
2010-12-31,5300.01,5473.72,4818.15
2011-01-07,5289.31,5445.6,4863.63
2011-01-14,5294.66,5428.11,4875.84
2011-01-21,5261.49,5403.98,4794.47
2011-01-28,5327.83,5446.49,4787.21
2011-02-04,5333.18,5435.45,4869.3
2011-02-11,5409.15,5479.62,4935.99
2011-02-18,5423.06,5496.13,4949.8
2011-02-25,5389.89,5501.42,4883.54
2011-03-04,5298.62,5479.45,4880.2
2011-03-11,5175.37,5447.15,4766.72
2011-03-18,5081.33,5382.49,4680.12
2011-03-25,5251.59,5490.54,4836.9
2011-04-01,5344.69,5533.66,4922.62
2011-04-08,5365.21,5471.66,4941.51
2011-04-15,5326.07,5480.38,4905.48
2011-04-22,5349.11,5491.53,4926.69
2011-04-29,5402.45,5553.63,4975.8
2011-05-06,5335.86,5569.36,4914.49
2011-05-13,5288.04,5562.08,4870.46
2011-05-20,5314.55,5547.72,4894.87
2011-05-27,5310.14,5526.9,4890.8
2011-06-03,5243.7,5483.29,4829.63
2011-06-10,5175.53,5458.61,4766.86
2011-06-17,5132.61,5473.4,4727.34
2011-06-24,5113.67,5494.66,4709.91
2011-07-01,5370.1,5603.98,4946.02
2011-07-08,5372.78,5635.55,4948.49
2011-07-15,5247.33,5564.27,4832.97
2011-07-22,5312.82,5606.78,4893.27
2011-07-29,5221.29,5524.57,4809.0
2011-08-05,4928.75,5261.05,4359.15
2011-08-12,4950.95,5287.22,4439.21
2011-08-19,4685.66,5164.75,4211.38
2011-08-26,4872.14,5260.99,4280.98
