date,gtaa,dual_momentum,vol_target,bench_6040,ew5
2008-06-06,4755.47,4695.57,4651.92,4651.92,4710.79
2008-06-13,4750.67,4667.51,4660.22,4660.22,4703.39
2008-06-20,4692.8,4632.2,4530.68,4530.68,4573.12
2008-06-27,4671.51,4609.54,4435.47,4435.47,4494.7
2008-07-04,4703.37,4619.18,4438.04,4438.04,4503.99
2008-07-11,4686.81,4641.73,4382.5,4382.5,4437.83
2008-07-18,4567.79,4555.9,4387.46,4387.46,4372.11
2008-07-25,4535.72,4594.43,4393.14,4393.14,4349.42
2008-08-01,4563.26,4670.52,4462.51,4466.89,4396.87
2008-08-08,4533.39,4792.89,4632.39,4663.64,4483.08
2008-08-15,4586.71,4960.38,4773.95,4829.71,4598.59
2008-08-22,4622.41,4995.79,4791.92,4851.16,4627.94
2008-08-29,4658.17,5109.31,4855.16,4926.88,4719.87
2008-09-05,4675.14,5289.05,4908.2,5003.24,4707.04
2008-09-12,4656.54,5231.79,4868.3,4954.7,4654.38
2008-09-19,4648.07,5112.61,4741.84,4815.93,4612.18
2008-09-26,4589.21,4961.18,4636.72,4704.9,4501.88
2008-10-03,4566.64,5182.18,4662.68,4696.82,4301.5
2008-10-10,4499.81,4812.15,4478.51,4294.84,3894.89
2008-10-17,4406.98,5068.37,4506.74,4351.17,3798.11
2008-10-24,4462.55,5586.25,4610.65,4625.06,3833.17
2008-10-31,4527.82,5567.74,4684.69,4775.37,4061.01
2008-11-07,4550.84,5799.99,4710.32,4859.19,4073.3
2008-11-14,4621.06,6149.52,4725.01,4993.23,4035.95
2008-11-21,4642.25,6047.24,4685.01,4829.99,3763.6
2008-11-28,4628.07,5964.09,4726.06,5004.66,3958.08
2008-12-05,4691.59,6346.27,4777.56,5220.33,4047.63
2008-12-12,4686.27,6309.57,4771.37,5193.45,4108.25
2008-12-19,4718.17,6412.59,4783.16,5277.33,4174.63
2008-12-26,4743.67,6662.72,4800.23,5367.73,4217.49
2009-01-02,4723.65,6703.97,4842.26,5478.75,4360.45
2009-01-09,4684.43,6367.28,4696.67,5147.15,4020.77
2009-01-16,4718.06,6623.37,4702.79,5162.77,3983.2
2009-01-23,4772.28,6955.54,4802.79,5398.26,4137.23
2009-01-30,4696.75,6613.72,4665.9,5075.84,3859.6
2009-02-06,4669.89,6453.4,4686.06,5121.8,3894.06
2009-02-13,4712.31,6704.45,4696.06,5146.84,3784.84
2009-02-20,4713.37,6613.89,4608.67,4942.96,3596.83
2009-02-27,4705.54,6647.36,4558.73,4826.13,3555.36
2009-03-06,4734.25,6776.47,4511.88,4741.23,3464.99
2009-03-13,4744.17,6818.49,4669.67,5043.84,3717.44
2009-03-20,4733.14,6644.11,4633.2,4970.29,3667.42
2009-03-27,4734.38,6654.22,4742.86,5178.27,3789.35
2009-04-03,4685.13,6439.45,4692.37,5069.18,3828.41
2009-04-10,4696.14,6510.48,4730.34,5177.79,3918.57
2009-04-17,4687.42,6474.4,4732.4,5181.73,3933.57
2009-04-24,4692.24,6576.9,4738.59,5200.09,3974.86
2009-05-01,4663.29,6457.12,4710.72,5132.56,3911.97
2009-05-08,4636.02,6341.75,4745.17,5189.86,4066.37
2009-05-15,4650.91,6428.03,4685.33,5086.77,3885.08
2009-05-22,4581.93,6094.03,4535.2,4816.46,3790.62
2009-05-29,4565.32,6025.24,4552.68,4845.22,3868.57
2009-06-05,4530.5,5997.14,4597.29,4921.67,3968.43
2009-06-12,4526.43,5871.17,4535.45,4811.1,3895.8
2009-06-19,4496.22,5878.13,4481.74,4716.76,3760.64
2009-06-26,4495.56,5924.29,4492.87,4737.94,3757.35
2009-07-03,4465.56,5979.26,4462.17,4714.75,3704.05
2009-07-10,4444.23,6097.86,4483.22,4738.18,3635.28
2009-07-17,4542.97,6010.37,4577.5,4854.22,3774.25
2009-07-24,4616.39,5989.51,4658.47,4952.23,3924.32
2009-07-31,4611.98,5927.7,4625.15,4912.4,3931.22
2009-08-07,4800.74,5870.69,4653.57,4948.35,4088.91
2009-08-14,4759.96,6009.9,4710.39,5014.87,4077.95
2009-08-21,4843.88,6015.39,4776.72,5094.8,4151.8
2009-08-28,4956.7,6137.9,4864.04,5198.49,4266.57
2009-09-04,4769.32,6116.86,4793.19,5122.51,4103.57
2009-09-11,4875.11,6052.86,4807.96,5143.0,4188.71
2009-09-18,5112.87,6196.1,4962.46,5323.98,4401.81
2009-09-25,5061.99,6352.81,5016.81,5377.33,4382.8
2009-10-02,4961.58,6366.13,4984.94,5335.09,4305.99
2009-10-09,5178.6,6378.34,5122.21,5502.39,4492.77
2009-10-16,5100.73,6185.11,5012.9,5383.15,4425.59
2009-10-23,5117.97,6208.99,4994.25,5361.96,4440.18
2009-10-30,4893.1,6180.94,4849.33,5187.24,4245.81
2009-11-06,4917.05,6250.29,4890.06,5241.88,4267.92
2009-11-13,5013.98,6397.01,4946.07,5308.89,4350.68
2009-11-20,5058.72,6370.74,5001.0,5368.86,4387.98
2009-11-27,5016.21,6314.39,5026.02,5394.4,4352.83
2009-12-04,5154.83,6510.27,5038.32,5415.78,4470.25
2009-12-11,5126.15,6483.0,5098.03,5484.31,4445.99
2009-12-18,5182.15,6434.95,5120.74,5508.85,4492.47
2009-12-25,5366.52,6680.28,5207.51,5616.36,4649.81
2010-01-01,5268.44,6577.08,5108.81,5503.37,4565.7
2010-01-08,5418.22,6909.68,5246.26,5654.33,4688.72
2010-01-15,5295.41,6712.13,5169.85,5569.71,4580.89
2010-01-22,5122.92,6401.81,5107.7,5502.8,4451.45
2010-01-29,5076.2,6264.11,5099.29,5494.52,4419.35
2010-02-05,5145.78,6207.99,5195.5,5603.63,4468.69
2010-02-12,5145.29,6288.31,5198.82,5605.97,4490.61
2010-02-19,5327.25,6585.7,5348.69,5772.33,4695.48
2010-02-26,5409.99,6660.43,5440.25,5876.52,4774.44
2010-03-05,5585.61,7006.48,5570.57,6020.84,4926.87
2010-03-12,5627.2,7059.59,5578.1,6028.46,4952.6
2010-03-19,5727.62,7112.0,5676.1,6138.23,5035.36
2010-03-26,5777.06,7172.44,5717.69,6183.82,5071.44
2010-04-02,5693.77,7218.93,5609.2,6061.08,5015.63
2010-04-09,5734.58,7229.16,5631.25,6084.83,5056.96
2010-04-16,5687.68,7144.37,5649.07,6105.65,5023.07
2010-04-23,5788.74,7148.22,5702.9,6164.45,5112.12
2010-04-30,5736.76,6968.35,5683.6,6145.44,5087.05
2010-05-07,5555.1,6505.16,5658.61,6123.46,4937.41
2010-05-14,5726.52,6777.29,5845.13,6331.52,5092.51
2010-05-21,5567.67,6560.61,5764.05,6244.76,4954.72
2010-05-28,5621.71,6558.87,5769.4,6250.22,5002.85
2010-06-04,5466.09,6224.91,5681.0,6189.18,4867.3
2010-06-11,5556.15,6341.94,5708.8,6233.78,5004.19
2010-06-18,5549.18,6367.59,5694.2,6204.84,5023.01
2010-06-25,5428.17,6060.95,5581.96,6014.27,4879.88
2010-07-02,5266.57,5687.39,5446.7,5804.82,4620.92
2010-07-09,5334.36,6058.4,5613.97,6024.38,4852.17
2010-07-16,5297.22,5892.96,5536.45,5922.0,4748.87
2010-07-23,5341.98,6052.22,5586.5,5983.05,4863.28
2010-07-30,5336.26,5942.27,5524.58,5899.13,4825.7
2010-08-06,5307.81,5961.79,5516.27,5891.92,4839.63
2010-08-13,5274.61,5872.71,5543.13,5927.42,4786.6
2010-08-20,5271.68,5852.64,5545.49,5931.05,4780.94
2010-08-27,5287.23,5816.57,5521.3,5903.92,4807.21
2010-09-03,5407.82,6068.87,5656.01,6048.92,4964.44
2010-09-10,5392.25,6140.16,5698.39,6092.36,4988.3
2010-09-17,5378.8,6118.06,5656.89,6045.32,4954.55
2010-09-24,5360.09,6166.05,5681.05,6069.39,4965.07
2010-10-01,5351.26,6158.11,5694.06,6085.53,4992.85
2010-10-08,5412.1,6206.52,5726.73,6119.64,5051.26
2010-10-15,5418.24,6256.54,5725.4,6113.34,5056.64
2010-10-22,5552.14,6414.7,5860.98,6258.89,5182.65
2010-10-29,5402.16,6279.87,5731.37,6118.21,5042.36
2010-11-05,5556.06,6446.27,5825.09,6213.43,5185.08
2010-11-12,5415.82,6338.57,5744.24,6127.9,5054.3
2010-11-19,5401.56,6395.89,5775.67,6159.7,5040.21
2010-11-26,5510.37,6500.79,5888.64,6283.51,5144.18
2010-12-03,5583.47,6617.42,5904.41,6291.17,5209.97
2010-12-10,5542.19,6695.39,5892.71,6269.96,5170.51
2010-12-17,5642.15,6840.31,6015.47,6401.59,5263.57
2010-12-24,5763.25,6954.5,6085.05,6473.17,5376.13
2010-12-31,5743.81,6881.71,6034.78,6420.54,5358.16
2011-01-07,5728.94,6984.51,6098.91,6485.65,5340.19
2011-01-14,5748.61,6958.74,6041.59,6420.77,5339.66
2011-01-21,5682.83,6853.22,5955.65,6330.14,5265.65
2011-01-28,5739.0,6878.54,6004.08,6384.6,5332.12
2011-02-04,5758.31,6954.18,5957.4,6331.9,5310.6
2011-02-11,5832.35,7104.69,6049.74,6431.46,5381.35
2011-02-18,5804.26,7071.71,6008.07,6387.47,5345.52
2011-02-25,5844.76,7012.21,6027.42,6405.89,5408.0
2011-03-04,5841.36,6955.38,5966.11,6340.94,5396.51
2011-03-11,5802.59,6949.39,6006.78,6382.85,5375.89
2011-03-18,5696.73,6752.21,5907.72,6275.1,5281.41
2011-03-25,5837.18,7021.03,6042.57,6421.79,5409.89
2011-04-01,5912.03,7089.85,6069.09,6451.08,5473.37
2011-04-08,5865.99,6958.52,5938.59,6312.56,5410.16
2011-04-15,5868.94,6942.6,5972.89,6347.62,5425.3
2011-04-22,5883.96,6944.38,5946.83,6320.71,5426.84
2011-04-29,5926.06,7010.28,5979.84,6356.61,5462.25
2011-05-06,5811.1,6961.87,6065.63,6446.0,5379.96
2011-05-13,5856.26,6906.6,6129.2,6513.5,5435.18
2011-05-20,5854.89,6890.85,6114.75,6497.67,5435.59
2011-05-27,5817.84,6822.54,6026.93,6403.44,5391.19
2011-06-03,5783.43,6866.07,5991.41,6363.25,5386.45
2011-06-10,5736.01,6745.79,5993.16,6363.28,5348.76
2011-06-17,5713.19,6699.05,6014.46,6385.81,5321.02
2011-06-24,5756.71,6756.39,6112.27,6489.35,5360.47
2011-07-01,5911.88,7130.15,6205.17,6594.41,5501.59
2011-07-08,5954.2,7045.7,6259.32,6651.23,5576.31
2011-07-15,5852.22,6849.24,6178.14,6562.51,5489.86
2011-07-22,5906.08,6983.57,6186.34,6573.16,5540.08
2011-07-29,5756.16,6742.28,6022.04,6393.96,5372.78
2011-08-05,5365.38,6419.68,5826.05,6178.83,5036.48
2011-08-12,5425.78,6365.23,5885.37,6238.77,5091.61
2011-08-19,5240.12,6002.45,5708.03,6045.76,4922.64
2011-08-26,5399.66,6324.24,5867.59,6219.29,5069.49
2011-09-02,5572.67,6372.87,5988.62,6309.76,5145.54
2011-09-09,5604.15,6398.47,6020.69,6399.48,5178.18
2011-09-16,5597.73,6786.02,6100.28,6598.24,5322.83
2011-09-23,5641.98,6479.68,6070.27,6535.14,5126.65
2011-09-30,5625.88,6401.6,6039.62,6453.35,5059.29
2011-10-07,5613.2,6558.51,6088.02,6509.64,5100.21
2011-10-14,5579.53,6828.9,6149.29,6578.26,5238.07
2011-10-21,5573.8,6847.77,6149.23,6574.94,5241.3
2011-10-28,5554.35,7030.69,6194.93,6629.33,5374.2
2011-11-04,5604.34,6897.09,6183.75,6631.22,5323.27
2011-11-11,5586.81,6945.95,6193.56,6641.25,5328.6
2011-11-18,5595.65,6803.42,6173.42,6627.86,5272.08
2011-11-25,5591.68,6634.08,6148.75,6610.58,5209.26
2011-12-02,5617.22,7055.76,6285.67,6803.68,5406.39
2011-12-09,5611.06,7088.8,6288.79,6807.14,5398.48
2011-12-16,5640.48,6936.61,6275.72,6793.66,5337.6
2011-12-23,5621.23,7182.61,6333.08,6883.41,5466.07
2011-12-30,5640.28,7160.04,6349.94,6916.65,5489.19
2012-01-06,5643.48,7349.89,6449.43,7021.2,5556.51
2012-01-13,5678.72,7469.86,6547.23,7127.59,5618.93
2012-01-20,5653.51,7513.42,6497.42,7072.7,5614.02
2012-01-27,5682.95,7427.88,6458.45,7030.56,5644.1
2012-02-03,5708.77,7544.82,6498.3,7073.46,5687.03
2012-02-10,5697.75,7567.59,6520.54,7097.68,5679.19
2012-02-17,5700.05,7643.77,6540.49,7119.04,5721.61
2012-02-24,5684.38,7649.54,6542.22,7120.89,5753.9
2012-03-02,5669.76,7691.63,6572.17,7153.44,5741.31
2012-03-09,5718.67,7784.23,6638.03,7225.0,5791.06
2012-03-16,5723.74,7886.58,6616.24,7200.43,5799.8
2012-03-23,5686.91,7840.63,6598.86,7181.68,5761.24
2012-03-30,5646.08,7829.35,6575.81,7156.5,5718.57
2012-04-06,5659.15,7865.96,6634.32,7220.39,5730.81
2012-04-13,5613.75,7708.6,6586.0,7168.49,5681.78
2012-04-20,5574.25,7621.6,6501.51,7076.46,5641.54
2012-04-27,5598.06,7688.08,6521.2,7097.59,5666.47
2012-05-04,5531.1,7555.22,6481.25,7054.7,5594.31
2012-05-11,5511.98,7513.0,6482.58,7056.44,5572.37
2012-05-18,5395.46,7308.25,6437.59,7008.51,5450.38
2012-05-25,5484.58,7511.67,6565.56,7147.41,5540.56
2012-06-01,5457.34,7424.51,6631.41,7220.13,5511.8
2012-06-08,5509.45,7358.93,6700.88,7294.71,5615.61
2012-06-15,5475.59,7276.86,6659.41,7249.41,5563.32
2012-06-22,5484.13,7314.43,6672.74,7263.86,5564.76
2012-06-29,5532.23,7275.75,6715.87,7310.43,5681.57
2012-07-06,5605.69,7231.06,6811.69,7415.0,5778.95
2012-07-13,5599.23,7199.09,6788.33,7389.63,5787.15
2012-07-20,5585.12,7215.71,6798.34,7400.48,5811.85
2012-07-27,5576.78,7280.39,6797.86,7399.47,5803.55
2012-08-03,5616.58,7360.7,6857.34,7464.09,5877.17
2012-08-10,5585.25,7415.48,6870.62,7478.24,5876.53
2012-08-17,5592.45,7484.09,6877.71,7485.51,5912.09
2012-08-24,5570.73,7392.81,6833.48,7437.7,5868.32
2012-08-31,5577.85,7352.92,6829.28,7433.39,5870.2
2012-09-07,5602.48,7448.28,6838.85,7443.17,5892.38
2012-09-14,5612.61,7498.51,6802.29,7402.73,5907.6
2012-09-21,5529.54,7463.52,6804.35,7405.25,5808.36
2012-09-28,5491.63,7392.28,6793.69,7394.09,5770.14
2012-10-05,5535.29,7519.36,6855.56,7460.97,5812.9
2012-10-12,5515.45,7380.92,6798.58,7399.53,5796.25
2012-10-19,5557.17,7434.32,6818.07,7420.5,5835.39
2012-10-26,5446.32,7288.56,6724.27,7318.75,5712.82
2012-11-02,5497.49,7337.35,6772.84,7371.63,5754.14
2012-11-09,5474.79,7217.41,6752.17,7349.85,5751.04
2012-11-16,5425.69,7128.32,6709.46,7303.69,5700.27
2012-11-23,5497.42,7321.91,6775.05,7374.17,5784.76
2012-11-30,5531.01,7366.7,6819.18,7422.21,5819.75
2012-12-07,5553.92,7372.92,6818.03,7420.91,5819.2
2012-12-14,5506.38,7297.38,6740.68,7336.67,5764.92
2012-12-21,5569.5,7382.89,6778.13,7377.09,5833.45
2012-12-28,5535.13,7236.45,6709.3,7302.73,5803.16
2013-01-04,5666.52,7503.11,6906.44,7507.92,5929.84
2013-01-11,5674.23,7519.83,6906.9,7508.36,5940.39
2013-01-18,5792.43,7661.83,7066.15,7679.54,6092.4
2013-01-25,5857.63,7755.98,7135.66,7750.38,6164.52
2013-02-01,5891.05,7839.83,7200.17,7817.42,6238.72
2013-02-08,5839.86,7796.01,7183.22,7799.74,6191.92
2013-02-15,5937.47,7956.86,7319.27,7946.12,6305.71
2013-02-22,6027.06,8127.62,7491.06,8133.61,6421.6
2013-03-01,6033.18,8207.68,7585.97,8238.36,6446.67
2013-03-08,6150.96,8450.7,7707.41,8360.84,6549.98
2013-03-15,6123.15,8404.82,7662.49,8311.92,6514.68
2013-03-22,6046.98,8326.73,7611.12,8258.08,6436.86
2013-03-29,6097.32,8398.28,7671.17,8322.64,6495.13
2013-04-05,6061.72,8246.53,7588.96,8238.67,6416.57
2013-04-12,6162.44,8434.11,7697.22,8350.25,6493.61
2013-04-19,6141.63,8319.22,7652.86,8307.66,6455.29
2013-04-26,6128.47,8335.8,7627.4,8276.43,6452.22
2013-05-03,6179.6,8442.18,7656.86,8302.25,6505.21
2013-05-10,6280.21,8667.69,7806.01,8458.67,6619.14
2013-05-17,6416.52,8969.31,8007.3,8670.0,6765.01
2013-05-24,6317.36,8908.93,7967.56,8628.35,6660.96
2013-05-31,6146.9,8751.81,7833.67,8484.2,6476.46
2013-06-07,6055.73,8632.84,7687.97,8331.1,6375.77
2013-06-14,5979.86,8466.92,7583.06,8214.55,6290.26
2013-06-21,5915.21,8451.05,7534.51,8164.24,6195.08
2013-06-28,6047.91,8617.66,7678.37,8320.44,6359.78
2013-07-05,6181.19,8972.97,7844.91,8547.1,6557.03
2013-07-12,6252.44,9083.12,7889.36,8608.99,6640.81
2013-07-19,6265.49,9079.73,7883.36,8601.44,6652.04
2013-07-26,6212.96,9007.24,7818.88,8517.72,6549.59
2013-08-02,6197.04,9156.55,7880.01,8619.7,6580.06
2013-08-09,6105.65,8947.92,7740.94,8461.21,6479.54
2013-08-16,5967.06,8696.79,7528.85,8227.17,6320.11
2013-08-23,6017.19,8770.37,7577.33,8282.52,6370.95
2013-08-30,5946.46,8647.45,7535.31,8227.79,6313.15
2013-09-06,5971.44,8702.23,7506.57,8206.22,6329.55
2013-09-13,5964.01,8738.2,7490.1,8194.39,6318.09
2013-09-20,5954.96,8775.87,7526.74,8234.16,6334.93
2013-09-27,5891.69,8618.05,7449.43,8141.28,6252.95
2013-10-04,5879.5,8684.89,7506.9,8204.56,6276.18
2013-10-11,5913.54,8783.69,7560.57,8267.81,6367.34
2013-10-18,5946.94,8879.37,7592.67,8309.82,6397.0
2013-10-25,5968.55,8959.84,7657.01,8381.3,6420.13
2013-11-01,5989.54,9108.18,7751.03,8489.29,6438.41
2013-11-08,5918.04,9108.99,7708.54,8448.24,6326.76
2013-11-15,5950.36,9195.63,7755.19,8503.3,6370.15
2013-11-22,5905.42,9172.75,7717.81,8464.5,6318.02
2013-11-29,5866.67,9102.59,7656.77,8397.38,6255.34
2013-12-06,5842.34,9111.06,7639.39,8381.52,6258.87
2013-12-13,5803.32,8995.04,7589.15,8319.63,6182.25
2013-12-20,5860.67,9200.18,7681.19,8432.18,6279.04
2013-12-27,5883.98,9230.17,7645.49,8401.04,6273.19
2014-01-03,5869.84,9218.99,7655.37,8405.63,6226.61
2014-01-10,5874.44,9246.06,7688.12,8437.75,6246.68
2014-01-17,5887.57,9253.87,7712.68,8465.88,6277.99
2014-01-24,5821.48,8981.36,7582.63,8326.55,6213.69
2014-01-31,5792.1,8969.59,7602.31,8349.85,6221.14
2014-02-07,5837.96,9060.58,7652.74,8404.49,6310.52
2014-02-14,5820.06,9095.06,7604.91,8347.63,6275.39
2014-02-21,5873.74,9159.29,7662.46,8411.64,6360.57
2014-02-28,5886.33,9208.45,7681.57,8431.72,6362.77
2014-03-07,5873.53,9322.06,7714.56,8465.22,6376.56
2014-03-14,5821.67,9180.32,7688.41,8440.83,6329.56
2014-03-21,5877.18,9388.59,7797.34,8558.36,6387.99
2014-03-28,5873.25,9267.25,7713.25,8465.98,6379.0
2014-04-04,5925.47,9348.3,7766.85,8524.71,6432.33
