,strat_all,strat_no_brakes_all,strat_live_brakes_all,SPY_bh,p6040,EW
2008-01-11,4749.65,4749.65,4749.65,4703.07,4710.09,4718.57
2008-01-18,4743.95,4743.95,4743.95,4433.91,4571.91,4623.52
2008-01-25,4668.93,4668.93,4668.93,4415.65,4546.84,4573.81
2008-02-01,4713.05,4713.05,4713.05,4663.86,4707.55,4699.16
2008-02-08,4793.4,4793.4,4793.4,4489.95,4616.0,4687.89
2008-02-15,4751.04,4751.04,4751.04,4523.88,4606.8,4702.12
2008-02-22,4874.48,4874.48,4874.48,4526.99,4602.29,4766.9
2008-02-29,5065.47,5065.47,5065.47,4416.97,4553.95,4780.29
2008-03-07,5036.49,5036.49,5036.49,4229.3,4419.43,4673.38
2008-03-14,4980.12,4980.12,4980.12,4213.38,4427.27,4671.53
2008-03-21,4804.49,4804.49,4804.49,4390.15,4582.91,4640.51
2008-03-28,4742.32,4742.32,4742.32,4350.35,4530.61,4715.68
2008-04-04,4731.55,4730.51,4731.55,4531.15,4634.6,4808.17
2008-04-11,4800.71,4799.67,4800.71,4469.38,4621.18,4853.41
2008-04-18,4664.71,4665.67,4664.71,4573.42,4622.89,4878.38
2008-04-25,4564.01,4546.17,4564.01,4638.43,4655.75,4905.58
2008-05-02,4491.51,4449.31,4491.51,4735.69,4724.82,4938.59
2008-05-09,4441.55,4501.02,4441.55,4690.68,4733.62,5013.98
2008-05-16,4518.25,4523.09,4518.25,4810.21,4789.87,5074.57
2008-05-23,4440.39,4493.56,4440.39,4587.31,4635.78,4989.3
2008-05-30,4388.51,4376.0,4388.51,4671.88,4658.22,4940.81
2008-06-06,4385.81,4396.21,4385.81,4562.86,4624.37,4999.7
2008-06-13,4386.69,4397.76,4386.69,4612.41,4632.56,4993.33
2008-06-20,4375.98,4371.99,4375.98,4415.24,4502.06,4920.84
2008-06-27,4416.21,4443.36,4416.21,4238.71,4406.3,4875.91
2008-07-04,4453.07,4513.54,4453.07,4222.69,4408.98,4884.66
2008-07-11,4436.12,4464.24,4436.12,4128.94,4353.07,4850.45
2008-07-18,4352.04,4312.65,4352.04,4178.83,4357.87,4743.34
2008-07-25,4306.78,4236.13,4306.78,4177.28,4363.64,4699.65
2008-08-01,4299.85,4243.58,4299.85,4234.73,4438.19,4747.74
2008-08-08,4204.77,4079.15,4204.77,4465.0,4636.72,4760.82
2008-08-15,4275.03,4117.69,4275.03,4625.66,4804.45,4833.93
2008-08-22,4270.8,4124.82,4270.8,4640.6,4826.14,4901.17
2008-08-29,4271.24,4145.93,4271.24,4689.65,4902.73,4982.72
2008-09-05,4339.93,4280.87,4339.93,4671.52,4980.28,4959.2
2008-09-12,4299.71,4214.79,4299.71,4661.69,4931.08,4831.61
2008-09-19,4285.53,4191.28,4285.53,4519.17,4790.96,4793.38
2008-09-26,4286.24,4192.7,4286.24,4368.76,4679.03,4679.96
2008-10-03,4320.25,4264.69,4320.25,4153.27,4671.84,4504.62
2008-10-10,4333.19,4298.01,4333.19,3450.3,4267.31,4146.56
2008-10-17,4263.75,4191.39,4263.75,3596.51,4323.77,4076.63
2008-10-24,4315.78,4296.98,4315.78,3651.13,4601.38,4129.33
2008-10-31,4264.49,4197.91,4264.49,4015.83,4752.17,4325.93
2008-11-07,4291.7,4250.89,4291.7,4000.3,4837.27,4412.52
2008-11-14,4383.01,4431.01,4383.01,3918.89,4973.64,4506.45
2008-11-21,4445.47,4552.51,4445.47,3552.56,4809.74,4271.48
2008-11-28,4428.45,4521.61,4428.45,3907.49,4985.28,4201.1
2008-12-05,4515.23,4688.96,4515.23,3992.27,5203.69,4467.12
2008-12-12,4510.73,4680.21,4510.73,3970.34,5176.53,4553.94
2008-12-19,4621.4,4900.21,4621.4,3971.94,5261.61,4662.51
2008-12-26,4681.55,5040.32,4681.55,4012.37,5353.13,4766.19
2009-01-02,4637.8,4986.91,4637.8,4295.79,5464.18,4988.1
2009-01-09,4543.39,4861.45,4543.39,3949.3,5121.58,4642.56
2009-01-16,4517.52,4827.03,4517.52,3881.23,5136.64,4619.14
2009-01-23,4556.36,4918.15,4556.36,4048.71,5372.5,4841.12
2009-01-30,4556.36,4918.15,4556.36,3822.81,5049.58,4587.05
2009-02-06,4460.32,4715.77,4460.32,3954.21,5096.36,4640.12
2009-02-13,4544.09,4903.98,4544.09,3875.39,5120.72,4638.58
2009-02-20,4583.43,4993.79,4583.43,3603.82,4915.56,4449.54
2009-02-27,4529.13,4877.55,4529.13,3470.46,4798.17,4402.12
2009-03-06,4578.9,4989.73,4578.9,3282.84,4712.19,4374.51
2009-03-13,4554.94,4947.61,4554.94,3655.59,5016.46,4592.92
2009-03-20,4481.36,4759.87,4481.36,3587.73,4942.68,4573.91
2009-03-27,4499.86,4754.31,4499.86,3858.62,5151.91,4695.59
2009-04-03,4402.2,4522.53,4402.2,3844.67,5043.11,4651.72
2009-04-10,4428.17,4515.25,4428.17,3958.82,5152.17,4729.9
2009-04-17,4438.19,4486.8,4438.19,3987.01,5156.31,4743.23
2009-04-24,4416.91,4468.11,4416.91,3998.49,5174.68,4767.47
2009-05-01,4303.46,4459.68,4303.46,3985.79,5107.31,4733.27
2009-05-08,4395.47,4550.07,4395.47,4133.24,5165.5,4883.93
2009-05-15,4299.93,4519.46,4299.93,3958.07,5061.49,4763.19
2009-05-22,4238.86,4414.07,4238.86,3783.61,4790.87,4598.8
2009-05-29,4278.37,4437.08,4278.37,3865.31,4820.13,4675.3
2009-06-05,4351.87,4483.28,4351.87,4004.94,4897.34,4780.54
2009-06-12,4248.97,4367.86,4248.97,3915.49,4786.51,4675.72
2009-06-19,4169.56,4302.46,4169.56,3799.55,4691.66,4555.81
2009-06-26,4154.72,4301.13,4142.82,3786.39,4712.66,4569.93
2009-07-03,4167.69,4305.47,4142.82,3731.69,4689.14,4520.99
2009-07-10,4161.51,4323.78,4142.82,3694.06,4712.21,4455.59
2009-07-17,4093.69,4319.22,4142.82,3925.33,4829.54,4587.99
2009-07-24,4104.23,4434.51,4142.82,4064.78,4928.23,4711.96
2009-07-31,4089.97,4428.51,4142.82,4025.58,4888.26,4697.67
2009-08-07,4030.55,4698.73,4142.82,4130.23,4924.85,4793.05
2009-08-14,4026.69,4645.18,4142.82,4146.51,4991.25,4794.11
2009-08-21,4001.7,4601.82,4142.82,4247.8,5071.64,4826.62
2009-08-28,4066.57,4709.68,4142.82,4325.2,5175.52,4929.17
2009-09-04,4056.52,4733.2,4142.82,4240.42,5099.19,4834.51
2009-09-11,4028.0,4725.07,4142.82,4284.43,5119.93,4883.6
2009-09-18,4144.11,4858.92,4142.82,4488.06,5301.76,5102.51
2009-09-25,4173.29,4872.9,4142.82,4480.43,5354.86,5112.63
2009-10-02,4147.69,4871.51,4142.82,4400.58,5312.18,5059.78
2009-10-09,4180.97,5028.34,4142.82,4631.49,5480.58,5265.14
2009-10-16,4038.36,4861.8,4142.82,4555.19,5361.21,5153.93
2009-10-23,4088.5,4979.15,4142.82,4535.71,5339.96,5195.61
2009-10-30,3915.55,4720.82,4142.82,4306.5,5164.17,4975.12
2009-11-06,3902.93,4730.32,4142.82,4413.48,5219.41,4998.91
2009-11-13,3947.71,4739.69,4142.82,4498.11,5286.81,5032.65
2009-11-20,4026.78,4911.46,4142.82,4536.88,5346.84,5112.05
2009-11-27,4001.45,4929.34,4142.82,4540.78,5372.31,5115.54
2009-12-04,4074.58,4983.92,4142.82,4610.61,5394.13,5169.28
2009-12-11,4100.15,5036.22,4142.82,4678.52,5462.92,5188.67
2009-12-18,4150.14,5136.08,4142.82,4692.54,5487.47,5259.15
2009-12-25,4253.63,5303.93,4142.82,4851.96,5595.77,5380.21
2010-01-01,4198.45,5223.1,4142.82,4742.13,5482.38,5290.77
2010-01-08,4328.62,5338.52,4142.82,4921.49,5635.06,5471.54
2010-01-15,4153.18,5158.76,4142.82,4808.36,5550.77,5331.03
2010-01-22,4064.59,5084.56,4142.82,4662.62,5485.08,5244.01
2010-01-29,4000.12,4981.33,4142.82,4621.12,5477.35,5155.78
2010-02-05,3990.85,4969.42,4142.82,4691.29,5587.35,5214.11
2010-02-12,3956.54,4917.04,4142.82,4733.95,5589.0,5254.31
2010-02-19,4116.3,5071.08,4142.82,4944.53,5754.93,5434.52
2010-02-26,4157.9,5174.01,4142.82,5001.6,5860.13,5510.5
2010-03-05,4297.81,5308.36,4142.82,5194.29,6003.9,5660.01
2010-03-12,4322.68,5346.64,4142.82,5225.43,6011.13,5639.21
2010-03-19,4381.52,5442.29,4142.82,5335.43,6121.11,5700.5
2010-03-26,4423.13,5487.78,4142.82,5410.28,6166.29,5711.12
2010-04-02,4383.27,5427.74,4142.82,5322.91,6042.69,5678.95
2010-04-09,4432.54,5489.95,4142.82,5374.1,6066.02,5710.61
2010-04-16,4409.42,5414.24,4142.82,5369.94,6087.32,5679.03
2010-04-23,4449.17,5428.81,4142.82,5472.47,6145.47,5741.47
2010-04-30,4388.78,5412.35,4142.82,5377.46,6127.74,5716.68
2010-05-07,4278.25,5236.46,4142.82,5180.1,6108.74,5657.82
2010-05-14,4326.02,5419.19,4142.82,5413.88,6316.76,5859.4
2010-05-21,4188.92,5358.39,4142.82,5208.91,6231.86,5724.97
2010-05-28,4195.72,5349.58,4142.82,5229.51,6237.08,5787.36
2010-06-04,4196.56,5329.87,4142.82,5111.22,6176.9,5700.42
2010-06-11,4219.46,5375.62,4142.82,5207.65,6220.7,5787.5
2010-06-18,4227.78,5406.59,4142.82,5228.77,6190.84,5801.94
2010-06-25,4158.45,5338.19,4142.82,4976.13,6000.96,5689.25
2010-07-02,4031.9,5141.06,4142.82,4668.35,5792.8,5455.2
