sym,entry,exit,qty,cost,pnl,reason,topups
DJP,2008-01-09,2008-01-22,33,978.0862872241297,-42.294615776068326,stop,0
DBA,2008-01-09,2008-01-22,66,979.097731769271,26.5056292323992,stop,0
USO,2008-01-09,2008-01-22,2,617.0823175012445,-52.676600228296934,stop,0
GLD,2008-01-22,2008-02-05,30,1363.793962692468,-31.961707459946865,stop,1
IEF,2008-01-24,2008-02-19,48,1378.28235553747,-3.7056160354316034,stop,0
DBA,2008-02-07,2008-03-04,52,862.3961284011635,29.864241120823976,stop,0
SLV,2008-01-15,2008-03-10,171,1386.31019196045,246.60550648799517,stop,1
DBB,2008-02-21,2008-03-10,91,976.5976946199306,-26.458228518973897,stop,0
DJP,2008-02-01,2008-03-17,30,901.1962713015141,56.171147436057254,stop,1
GLD,2008-03-10,2008-03-19,21,1007.1621269245752,-5.172759153377001,stop,1
DBA,2008-03-14,2008-03-19,59,1017.7400406051152,-95.64947124641549,stop,0
USO,2008-03-04,2008-03-20,2,658.1291306963731,-17.660628643527957,stop,1
IEF,2008-03-19,2008-04-16,32,949.1955661179816,-22.578758957254195,stop,0
TIP,2008-03-17,2008-04-18,37,1197.6008904786322,-28.833747478481882,stop,0
TLT,2008-03-24,2008-04-24,44,1202.6776220549423,-36.776509664257446,stop,1
SLV,2008-03-26,2008-05-01,156,1418.4099661489445,-155.32600524151053,stop,0
DJP,2008-04-18,2008-05-01,15,494.54015466239554,-21.452683146292657,stop,0
DBA,2008-04-18,2008-05-01,24,395.9724510736273,-32.34131374326478,stop,0
USO,2008-04-22,2008-05-01,1,383.4303929430633,-23.858395778793522,stop,0
FXI,2008-04-23,2008-05-23,39,687.2758170594697,-47.785640779037294,stop,0
EEM,2008-05-01,2008-05-23,26,442.90819829856184,-2.9540259074111646,stop,0
SLV,2008-05-21,2008-05-29,49,445.7337590108066,-33.48558153882112,stop,0
USO,2008-05-12,2008-06-03,1,411.29804382246283,-1.5940363866666303,stop,0
EEM,2008-06-02,2008-06-10,38,655.0991980682468,-32.35257830309547,stop,0
QQQ,2008-05-01,2008-06-11,21,448.13159054081416,-9.943266672836728,stop,0
DBA,2008-06-11,2008-07-07,37,643.8698823409563,-16.55672134362544,stop,0
DJP,2008-05-12,2008-07-08,19,640.612296337913,28.732739330133086,stop,0
USO,2008-06-19,2008-07-17,1,435.9019596907085,-12.343899432458727,stop,0
SLV,2008-07-08,2008-07-22,73,656.1721509989592,-6.69349104339301,stop,0
GLD,2008-07-07,2008-07-23,10,463.8808617221794,-3.3970407669404494,stop,0
DJP,2008-07-21,2008-07-29,13,427.38334019589496,-26.119333449552244,stop,0
DBA,2008-07-30,2008-08-05,41,644.3449221608256,-50.290430198629565,stop,0
SLV,2008-08-01,2008-08-08,73,639.8337615329124,-58.207739411897364,stop,0
USO,2008-07-28,2008-08-11,1,405.598154370831,-21.107084773761414,stop,0
GLD,2008-08-04,2008-08-11,14,631.0913045726758,-24.74157040208445,stop,1
IWM,2008-08-13,2008-08-25,20,625.6323781009407,-25.922670568024728,stop,0
DBA,2008-08-21,2008-09-02,37,627.8748735558748,-35.80314597227755,stop,0
QQQ,2008-08-11,2008-09-03,29,626.7171794871794,5.928785787960351,stop,0
TLT,2008-08-05,2008-09-17,23,620.122523800454,97.91861366506373,stop,0
TIP,2008-07-24,2008-09-18,20,645.8824743305817,52.93902947844447,stop,0
IEF,2008-08-12,2008-09-18,20,605.9728512840954,40.69414418560518,stop,0
GLD,2008-09-17,2008-09-30,13,614.1285148296924,4.595412608458673,stop,0
IEF,2008-09-29,2008-10-08,20,649.1868224732193,14.617246904624267,stop,0
TLT,2008-09-29,2008-10-13,20,627.6451005263638,9.091331875126343,stop,0
GLD,2008-10-10,2008-10-22,13,635.2664561588164,-64.2151742415515,stop,0
TLT,2008-10-23,2008-10-31,18,635.1209135232698,-28.032013620461157,stop,0
GLD,2008-11-25,2008-12-05,12,630.0510348170288,-36.38968133118988,stop,0
IEF,2008-10-20,2009-01-02,31,1177.1898067259833,182.50078368849245,stop,1
TLT,2008-11-10,2009-01-02,28,1133.4210243057553,200.23648295449584,stop,1
GLD,2008-12-15,2009-01-12,24,1357.0130573541494,-56.191658082796266,stop,1
IEF,2009-01-12,2009-01-22,15,657.1125766833712,25.70206161103954,stop,0
TLT,2009-01-12,2009-01-22,14,637.1535291257014,14.560609371479131,stop,0
GLD,2009-02-04,2009-02-26,10,619.9040608259892,19.928123563743725,stop,0
IEF,2009-02-02,2009-02-27,15,663.6720273394445,-19.877143579848394,stop,0
SLV,2009-03-04,2009-03-18,75,678.4769168442745,-45.417882862841566,stop,0
IEF,2009-03-09,2009-04-03,15,684.1071152176404,-51.5617179336823,stop,0
GLD,2009-03-19,2009-04-06,10,652.8022404136148,-70.72630433128018,stop,0
TLT,2009-02-02,2009-04-24,15,658.1362581035739,-48.90177880840463,stop,0
DBB,2009-03-13,2009-04-27,95,686.4221718325953,22.84399630234975,stop,0
IEF,2009-04-13,2009-04-30,15,641.4783491732735,-14.795743949616735,stop,0
GLD,2009-04-24,2009-06-15,10,614.243885823285,-53.82933836326902,stop,0
DJP,2009-04-17,2009-06-16,28,651.6775941882074,-7.157291974921463,stop,0
GLD,2009-06-25,2009-07-09,11,623.1168774437929,-22.307563230664755,stop,0
VNQ,2009-04-21,2009-07-10,63,659.9079696071418,-108.39316144626832,stop,0
TLT,2009-06-23,2009-07-15,18,615.6378111930395,-9.007791961970497,stop,0
IEF,2009-06-25,2009-07-15,16,593.7753314882982,-7.762764649659061,stop,0
FXI,2009-08-03,2009-08-05,35,606.398275047259,-54.853649690420866,stop,0
LQD,2009-07-10,2009-08-07,19,621.5282495240758,-11.697259653541096,stop,1
SLV,2009-08-13,2009-08-17,67,600.2867269712045,-39.71597871453696,stop,0
TLT,2009-08-20,2009-09-09,17,603.5642276635016,-25.328553481101608,stop,1
GLD,2009-07-21,2009-09-21,10,568.5175351995018,17.9090055743535,stop,0
SLV,2009-09-03,2009-09-24,61,602.7106917725441,1.619160223409608,stop,1
FXI,2009-09-11,2009-09-24,19,326.8634376969951,-1.453739930284371,stop,0
HYG,2009-09-28,2009-10-02,31,626.0801958222489,-27.74796628320837,stop,0
LQD,2009-08-17,2009-10-09,18,603.8116650354784,22.806804877115155,stop,0
TLT,2009-09-23,2009-10-09,16,573.2180788521889,15.429872142447834,stop,0
IEF,2009-08-24,2009-10-15,16,603.7594496505184,-0.5465536465472951,stop,1
SLV,2009-10-06,2009-10-27,55,592.8085039567891,-45.17465055380762,stop,0
EMB,2009-04-28,2009-10-28,24,637.5838592295206,13.141229403199418,stop,0
EEM,2009-09-29,2009-10-28,19,325.24586517980197,-10.09120803040122,stop,0
DJP,2009-10-21,2009-10-28,15,381.48733272116937,-17.993775961111226,stop,0
DBB,2009-10-13,2009-11-02,42,411.2628789424934,-1.9950863350032932,stop,0
DBA,2009-10-13,2009-11-10,40,566.5455516065808,-47.59108894720009,stop,1
FXI,2009-11-06,2009-11-27,22,394.72435930234303,-16.289669970039938,stop,0
GLD,2009-10-29,2009-12-04,9,564.4632047347397,62.646451714425666,stop,1
TIP,2009-06-03,2009-12-10,16,624.4356126185478,28.893188904887438,stop,0
DBB,2009-11-12,2009-12-21,52,512.1041458669522,70.94691948834816,stop,0
LQD,2009-11-02,2009-12-22,17,585.8173385745193,10.559654316401861,stop,0
DJP,2009-12-01,2010-01-13,24,603.7108140789366,10.492932062979548,stop,1
USO,2009-12-29,2010-01-15,3,588.9248490945674,-23.468663654331408,stop,0
DBA,2009-12-09,2010-01-20,44,611.816168321235,-11.054231817682535,stop,1
EEM,2009-12-30,2010-01-20,32,584.7872486665525,-6.996527311306863,stop,0
HYG,2009-10-30,2010-01-21,30,581.0774607226424,36.795434237610834,stop,0
VNQ,2009-10-14,2010-01-22,47,635.2884361434435,19.11594403466802,stop,1
QQQ,2009-12-18,2010-01-22,18,432.7947134654967,-1.2198749760314627,stop,0
SLV,2010-01-20,2010-01-26,52,563.8368426705948,-45.399502564669774,stop,0
DBB,2010-01-15,2010-01-27,54,621.9893937530742,-39.901884398464745,stop,0
EWJ,2010-01-22,2010-01-29,29,545.733369534862,-16.33399106475781,stop,0
GLD,2010-01-22,2010-02-04,9,601.366720451795,-7.205312260354617,stop,0
HYG,2010-02-04,2010-02-11,28,585.4286430645698,-17.79537849914459,stop,0
DBA,2010-02-11,2010-03-02,42,589.5834065584208,8.754616920696776,stop,0
VNQ,2010-02-03,2010-04-16,42,597.1417362716875,113.129780359179,stop,0
DBB,2010-02-11,2010-04-27,55,591.8895574657753,54.34584974995994,stop,0
EWJ,2010-02-08,2010-05-04,32,596.9280841916129,42.285941628045634,stop,0
IWM,2010-02-10,2010-05-04,19,583.2999855716048,124.38244682513312,stop,0
SPY,2010-02-23,2010-05-04,7,374.742223086774,27.524927836064307,stop,0
DJP,2010-02-16,2010-05-05,23,593.6752972091624,-4.619246485724261,stop,0
HYG,2010-03-04,2010-05-05,27,609.1404599956761,-0.2929657070292251,stop,0
USO,2010-04-20,2010-05-05,3,632.6682944297944,-27.893192618715943,stop,0
VNQ,2010-04-29,2010-05-06,35,654.0248360040468,-24.64036725194012,stop,0
TLT,2010-05-06,2010-05-10,15,610.2239717785287,-29.364897465244553,stop,0
SLV,2010-05-07,2010-05-19,52,635.2689261529628,13.728252508718924,stop,0
VNQ,2010-05-17,2010-05-21,34,636.0693919140631,-70.5682522577581,stop,0
VNQ,2010-06-10,2010-07-01,35,623.6070372761561,-63.80043413972817,stop,0
SLV,2010-06-03,2010-07-02,51,618.6463801833858,-39.75300396384341,stop,0
DBA,2010-07-08,2010-08-06,43,602.8648270860119,-7.233358527128416,stop,0
FXI,2010-07-28,2010-08-11,22,398.39627510378097,-16.492614152859744,stop,0
DBB,2010-08-13,2010-08-24,37,394.5898462179888,-11.567203075511998,stop,0
DJP,2010-08-10,2010-08-25,23,588.0897068331992,-15.985652394717135,stop,0
IEF,2010-05-20,2010-09-03,14,632.6010537561821,-20.513264488477148,stop,0
TLT,2010-05-20,2010-09-03,14,597.732090119912,-15.755289859565778,stop,0
VNQ,2010-09-08,2010-09-23,33,601.62442957792,-25.185185112931208,stop,0
DBA,2010-08-26,2010-09-30,41,594.5789573448197,9.205150439992508,stop,1
SLV,2010-08-27,2010-10-19,29,351.9736939547612,69.92297764616836,stop,0
DJP,2010-09-27,2010-10-19,22,589.0063329026486,14.644193949291548,stop,1
VNQ,2010-10-04,2010-11-09,33,595.0812647072757,10.046507857199686,stop,0
EMB,2010-06-15,2010-11-10,19,610.9597007616055,4.610962979225519,stop,0
DBA,2010-10-21,2010-11-11,39,623.9868150412328,-0.2774276943572431,stop,0
DBB,2010-09-08,2010-11-12,49,555.8579083446449,22.70953948717579,stop,0
DJP,2010-10-29,2010-11-12,15,418.535665861451,3.7171461779564083,stop,0
HYG,2010-07-27,2010-11-16,26,592.1053131112322,4.875912868843784,stop,0
SLV,2010-11-11,2010-11-16,39,646.8992092819623,-46.49891026243154,stop,1
VGK,2010-11-19,2010-11-26,34,621.7682217841609,-23.28045633503791,stop,0
SLV,2010-11-30,2011-01-20,34,602.3817504176841,-22.597875848183094,stop,0
IWM,2010-11-15,2011-01-25,17,617.6788363002071,49.45629125242613,stop,0
GLD,2010-05-06,2011-01-27,8,641.8079687183981,-0.8089819964845901,stop,0
EEM,2010-11-17,2011-01-28,21,429.2692042936397,5.771346428256777,stop,0
EWJ,2010-11-12,2011-02-23,30,574.1434178884493,49.40845418162223,stop,0
QQQ,2010-11-16,2011-02-23,21,596.5166144693976,44.83908254515961,stop,0
DBA,2011-01-27,2011-02-23,35,643.5698904479392,-16.990911913520222,stop,0
VNQ,2011-01-24,2011-03-02,31,590.4927476857644,4.19788879064356,stop,0
DBB,2011-01-31,2011-03-09,50,636.3525517930465,-25.39915581699279,stop,0
DJP,2010-11-22,2011-03-10,20,553.2440545198183,59.00970841893172,stop,0
DBA,2011-03-07,2011-03-11,22,414.3961237558829,-20.768981187443444,stop,0
USO,2011-03-02,2011-03-15,2,408.0376617608772,-18.844042953152552,stop,0
TLT,2011-03-15,2011-03-25,16,595.6382825530803,-8.682407238264659,stop,0
USO,2011-03-28,2011-04-12,3,626.9958338015276,-1.4155010320364454,stop,1
DBB,2011-03-23,2011-04-18,46,587.4373577357292,-20.62512362777386,stop,1
SLV,2011-03-10,2011-04-26,29,622.7238769076598,145.58004433976157,stop,1
FXI,2011-03-30,2011-05-03,33,626.7573595059961,-23.428188025003124,stop,0
GLD,2011-03-10,2011-05-04,7,603.0379796003367,25.520602766428397,stop,1
DJP,2011-03-21,2011-05-04,20,625.1951171508811,-4.889551234726127,stop,1
DBA,2011-03-25,2011-05-04,36,659.6903877575128,-34.620318771082566,stop,1
USO,2011-04-26,2011-05-05,2,436.5861388555886,-29.29206212612479,stop,1
VGK,2011-05-05,2011-05-17,31,607.8473617573029,-16.308736203524745,stop,0
QQQ,2011-05-06,2011-05-17,20,628.5377976690547,-15.75180209927862,stop,0
VNQ,2011-03-31,2011-05-23,32,638.8898921252484,11.292986105822592,stop,1
SPY,2011-05-17,2011-06-03,6,378.4059438838297,-17.673186890130808,stop,0
TLT,2011-05-04,2011-06-06,17,633.7835502042876,6.589283744162458,stop,0
IWM,2011-05-13,2011-06-06,15,629.8339687292594,-33.66566025862062,stop,0
FXI,2011-05-31,2011-06-08,33,625.7256877944977,-34.18675602792712,stop,0
DJP,2011-06-09,2011-06-17,20,618.6252825808028,-28.514928277444938,stop,0
DBA,2011-06-14,2011-06-23,23,398.2918998167379,-12.376958625566317,stop,0
GLD,2011-05-16,2011-06-27,7,631.2131426983293,2.346620587525763,stop,0
TLT,2011-06-16,2011-06-29,15,589.5096545144381,-18.004687444464935,stop,0
VGK,2011-06-30,2011-07-11,30,601.3137171999209,-31.99034902703295,stop,1
SPY,2011-06-30,2011-07-14,6,381.5262443157042,-10.892287189221122,stop,0
VNQ,2011-06-22,2011-07-29,29,598.6023861744987,-14.40111005157462,stop,0
DBB,2011-06-14,2011-08-03,48,594.008893462342,-12.06689897131298,stop,1
EWJ,2011-06-30,2011-08-03,30,598.2612203453125,-18.582554672898482,stop,1
SLV,2011-06-06,2011-08-05,28,614.0555375538777,11.39306241866791,stop,0
IEF,2011-06-28,2011-08-11,13,564.7768298658275,19.435730696528935,stop,0
GLD,2011-07-08,2011-08-11,6,573.0701107121627,52.54684119078104,stop,1
TLT,2011-07-27,2011-08-11,11,422.42154450976494,44.55006821910001,stop,0
TIP,2011-08-05,2011-08-11,12,570.849778076049,12.766384012878348,stop,0
LQD,2011-08-05,2011-08-11,15,603.3538581211964,-4.418348822021585,stop,0
SLV,2011-08-15,2011-08-24,26,616.1916502692231,-9.106304680875496,stop,0
GLD,2011-08-22,2011-08-24,3,339.17121845228144,-21.878763683360717,stop,0
DBA,2011-08-16,2011-09-13,35,603.4088637019706,19.24842355819692,stop,0
EMB,2011-08-10,2011-09-19,19,630.3754640964452,13.54816552257057,stop,0
SLV,2011-09-06,2011-09-22,24,618.9749322362456,-55.273154465710036,stop,1
GLD,2011-09-06,2011-09-22,5,570.2944984641323,-22.53742404545187,stop,1
QQQ,2011-09-19,2011-09-22,15,478.3068889207304,-23.18707517111733,stop,0
TLT,2011-08-31,2011-09-28,14,605.3887072887962,73.90552735968822,stop,0
IEF,2011-08-30,2011-10-07,13,594.6996878713364,25.083857688638318,stop,0
TLT,2011-10-10,2011-10-27,12,589.6770705629071,-52.81249314786055,stop,0
DBA,2011-10-21,2011-11-14,36,599.580507531466,-24.143647448191473,stop,0
QQQ,2011-10-14,2011-11-21,19,617.2730847029077,-35.97100386027739,stop,0
SPY,2011-10-31,2011-11-21,9,544.5924193448125,-15.850753583855976,stop,0
EMB,2011-10-17,2011-11-22,18,610.9232835820894,0.353743315278507,stop,0
VNQ,2011-10-24,2011-11-22,28,554.6288821865576,-22.457707465605836,stop,0
GLD,2011-10-03,2011-12-12,5,524.4467681840272,-9.528214699684213,stop,0
USO,2011-11-16,2011-12-14,3,597.0247452692657,-31.824581040703492,stop,1
TLT,2011-11-23,2011-12-23,12,619.5605795906322,-22.635081953376925,stop,1
USO,2011-12-27,2012-02-01,2,403.25451400607056,-27.78703812309527,stop,1
CPER,2012-01-03,2012-02-17,35,565.5661314801501,26.67159971979936,stop,0
IWM,2012-02-03,2012-03-05,8,347.19249016230225,-19.921648148276574,stop,0
USO,2012-02-22,2012-03-06,2,417.2544604534649,-11.566781899079388,stop,0
IEF,2011-11-23,2012-03-13,12,591.6037876534139,-16.539220790258923,stop,0
EWJ,2012-03-14,2012-04-04,17,334.1391088003572,-13.487632936552075,stop,0
CPER,2012-02-27,2012-04-09,35,617.9925325444121,-41.59501799352324,stop,1
IWM,2012-03-15,2012-04-09,12,523.333269683661,-28.5057724365318,stop,0
QQQ,2011-12-01,2012-04-23,18,575.6648522897478,61.68415769103456,stop,0
CPER,2012-04-26,2012-04-30,35,580.3719087412533,-4.669760439104948,stop,0
SPY,2011-12-01,2012-05-08,9,559.005091722131,25.623538832393137,stop,1
GLD,2012-04-12,2012-05-08,5,512.5677047434049,-31.54487626834606,stop,0
VNQ,2011-12-16,2012-05-17,29,591.2243213688407,61.50563289390334,stop,0
TLT,2012-04-20,2012-06-06,11,535.8846191293259,62.840596585125354,stop,0
GLD,2012-06-12,2012-06-28,5,505.22061302805025,-22.69355530383109,stop,0
TLT,2012-06-18,2012-07-27,11,601.2143565515428,-6.819893248555218,stop,0
IEF,2012-04-10,2012-08-07,7,340.94627326923114,10.897965152351276,stop,0
EMB,2012-06-13,2012-08-20,16,595.8012834155621,14.887140250139169,stop,0
USO,2012-08-22,2012-09-19,3,550.1808129466955,-35.79785258666834,stop,0
VNQ,2012-06-07,2012-09-25,26,599.9733251758946,1.910702192168742,stop,0
HYG,2012-06-29,2012-09-26,22,590.5623760485141,-7.3685562808025225,stop,0
QQQ,2012-08-03,2012-10-09,16,597.097146875949,-1.5194408925087828,stop,0
IWM,2012-08-09,2012-10-09,9,384.46120178397297,-0.9989129228574143,stop,0
DBB,2012-09-27,2012-10-10,39,396.1254700275625,-13.343338606042153,stop,0
DJP,2012-09-21,2012-10-15,20,544.9330725035043,-8.550496274506145,stop,0
SLV,2012-09-27,2012-10-15,29,606.5334048333226,-36.68965841141835,stop,2
GLD,2012-10-11,2012-10-19,3,322.9822714595117,-12.615672999631386,stop,0
SPY,2012-07-19,2012-10-23,8,552.5095222195722,5.676664681962166,stop,0
CPER,2012-10-11,2012-10-23,24,395.19149877685845,-22.36604782166404,stop,0
FXI,2012-10-12,2012-11-08,36,585.2321095208464,0.7576739991436625,stop,0
VGK,2012-10-31,2012-11-09,31,565.88239123359,-12.31780413245292,stop,0
EEM,2012-10-17,2012-11-13,30,584.5542948251575,-18.21682928211567,stop,0
VNQ,2012-11-02,2012-11-14,24,566.1977872446671,-18.009351722359156,stop,0
GLD,2012-11-21,2012-12-04,5,527.9624504380259,-21.284682493547734,stop,0
SLV,2012-11-20,2012-12-05,28,567.3120522399774,-21.212623153812274,stop,0
TLT,2012-11-08,2012-12-13,10,536.3299874822887,-23.62378636257995,stop,0
CPER,2012-12-17,2012-12-20,36,570.1676869908664,-28.21166456899732,stop,0
DBB,2012-11-27,2013-01-04,40,387.67181599725365,3.487422921799805,stop,0
EWJ,2012-12-06,2013-01-08,31,564.9021357791432,18.679867833213507,stop,1
