,strategy,buy_and_hold
1976-01-01,106.8789,107.2072
1976-02-01,107.7287,106.4056
1976-03-01,107.0421,103.6605
1976-04-01,107.9807,103.6721
1976-05-01,105.6635,100.951
1976-06-01,106.8365,102.3711
1976-07-01,107.6694,102.7416
1976-08-01,108.1252,102.2023
1976-09-01,108.4045,100.507
1976-10-01,105.4196,94.8011
1976-11-01,105.2124,96.0319
1976-12-01,111.3595,103.2646
1977-01-01,108.7443,101.3767
1977-02-01,108.5171,102.3847
1977-03-01,108.7432,102.3264
1977-04-01,110.8444,103.5343
1977-05-01,109.9562,102.5424
1977-06-01,111.9616,104.1519
1977-07-01,112.3373,101.7733
1977-08-01,113.7723,103.376
1977-09-01,116.3757,105.4634
1977-10-01,117.0549,106.7292
1977-11-01,117.2468,105.8034
1977-12-01,120.5807,110.2231
1978-01-01,120.4517,110.4923
1978-02-01,121.2029,111.2537
1978-03-01,126.2487,118.1973
1978-04-01,126.4021,119.8585
1978-05-01,128.7143,122.7674
1978-06-01,132.1205,126.1384
1978-07-01,139.4902,134.745
1978-08-01,147.1208,143.3928
1978-09-01,149.3506,147.2814
1978-10-01,155.285,152.7428
1978-11-01,139.6276,137.4053
1978-12-01,145.6661,143.0914
1979-01-01,150.4353,147.7858
1979-02-01,151.8737,149.1988
1979-03-01,157.7418,154.9636
1979-04-01,158.7482,155.9523
1979-05-01,159.5689,156.6056
1979-06-01,166.2184,162.8748
1979-07-01,166.9963,165.457
1979-08-01,173.6288,172.0237
1979-09-01,182.2439,184.3087
1979-10-01,172.1445,174.1264
1979-11-01,177.5465,183.538
1979-12-01,183.135,190.6817
1980-01-01,192.6373,202.2734
1980-02-01,189.5528,203.2922
1980-03-01,168.3698,173.9217
1980-04-01,183.3465,190.487
1980-05-01,198.4386,201.1031
1980-06-01,208.4114,213.6549
1980-07-01,212.2338,217.9126
1980-08-01,213.1159,222.2864
1980-09-01,215.3384,227.1529
1980-10-01,227.3025,240.3836
1980-11-01,223.063,237.139
1980-12-01,222.0218,233.512
1981-01-01,227.6606,229.2058
1981-02-01,224.9778,230.5839
1981-03-01,228.5022,236.0018
1981-04-01,229.4775,234.8207
1981-05-01,229.5107,226.2366
1981-06-01,234.3981,227.1392
1981-07-01,223.807,218.283
1981-08-01,220.2713,219.7025
1981-09-01,209.188,201.0257
1981-10-01,213.7337,205.1313
1981-11-01,236.5421,226.5928
1981-12-01,233.5807,221.5405
1982-01-01,226.0419,218.0053
1982-02-01,229.8915,206.1559
1982-03-01,239.5699,198.426
1982-04-01,242.2099,207.2026
1982-05-01,248.2517,205.7622
1982-06-01,239.3285,186.2594
1982-07-01,246.455,185.6374
1982-08-01,261.1419,186.06
1982-09-01,274.0631,183.4249
1982-10-01,296.5968,183.8923
1982-11-01,304.4533,190.7653
1982-12-01,308.706,203.7563
1983-01-01,315.2163,212.7229
1983-02-01,319.949,224.8413
1983-03-01,331.1334,231.7176
1983-04-01,349.9986,247.2153
1983-05-01,346.9481,243.5437
1983-06-01,349.6795,246.4356
1983-07-01,355.0978,252.4994
1983-08-01,353.0421,248.4383
1983-09-01,361.2906,250.2331
1983-10-01,356.117,249.0612
1983-11-01,366.2217,255.9563
1983-12-01,374.6905,260.6644
1984-01-01,388.2596,278.49
1984-02-01,394.3517,283.1333
1984-03-01,405.7416,291.2724
1984-04-01,402.4865,288.7334
1984-05-01,381.6014,269.3137
1984-06-01,375.4849,262.5342
1984-07-01,376.495,251.1402
1984-08-01,395.6042,272.8443
1984-09-01,399.2215,269.4262
1984-10-01,406.6367,269.409
1984-11-01,415.71,267.7661
1984-12-01,421.8936,269.5326
1985-01-01,436.4422,287.4146
1985-02-01,436.0793,278.3077
1985-03-01,436.5689,294.9479
1985-04-01,451.0941,300.3809
1985-05-01,470.3727,312.3004
1985-06-01,480.778,313.526
1985-07-01,508.9338,341.6561
1985-08-01,520.7131,348.3282
1985-09-01,534.1669,361.7311
1985-10-01,578.3933,393.4292
1985-11-01,619.7363,420.3337
1985-12-01,649.1893,437.557
1986-01-01,666.458,448.3572
1986-02-01,737.5179,494.8894
1986-03-01,805.7028,536.6183
1986-04-01,874.0873,579.9941
1986-05-01,839.1899,559.8098
1986-06-01,849.2934,571.3058
1986-07-01,871.5062,584.9097
1986-08-01,944.4162,640.2781
1986-09-01,930.419,631.1987
1986-10-01,930.2983,639.2674
1986-11-01,963.797,661.6101
1986-12-01,998.7278,684.3031
1987-01-01,1062.3157,731.8983
1987-02-01,1104.5662,761.1486
1987-03-01,1157.7987,797.9757
1987-04-01,1213.4462,836.5405
1987-05-01,1212.5135,836.0679
1987-06-01,1241.0258,855.8908
1987-07-01,1328.7479,916.6775
1987-08-01,1387.8945,955.6192
1987-09-01,1396.58,964.0835
1987-10-01,1058.6269,725.383
1987-11-01,1059.4191,708.0628
1987-12-01,1096.274,747.9537
1988-01-01,1111.8062,724.2925
1988-02-01,1165.7142,771.4525
